BrandName,Condition,Drug,GenName,HowtoUse,Use
,,Airshield,Mv-Min-C-Glutamin-Lysine-Hb124,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"inadequate folic acid, anemia from inadequate folic acid, anemia from inadequate iron",Abatron,Iron-Fa-Vit B Cmplx #16-Mag-Zn,"Take this medication by mouth as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.Use a medication-measuring device to carefully measure the prescribed dose. Do not use a household spoon.Some products are best taken on an empty stomach 1 hour before or 2 hours after meals. If stomach upset occurs, you may take this medication with food. Avoid taking antacids, dairy products, tea, or coffee within 2 hours before or after this medication because they will decrease its effectiveness.","This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
,full-thickness articular cartilage defect of the knee,"Autol Chrondrocy-Collagen,Porc Sheet","Autol Chrondrocy-Collagen,Porc",Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"low levels of female hormones in the body called hypogonadism, abnormal bleeding from the uterus, polycystic ovarian syndrome, a disease with cysts in the ovaries, pain with menstruation, premenstrual disorder with a state of unhappiness, absence of menstrual periods, acne, endometriosis, abnormally long or heavy periods, birth control",Aranelle,Norethin-E.Estradiol Triphasic,"Read the Patient Information Leaflet provided by your pharmacist before you start using this product and each time you get a refill. The leaflet contains very important information on when to take your pills and what to do if you miss a dose. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth as directed by your doctor, usually once daily. Pick a time of day that is easy for you to remember, and take your pill at the same time each day.It is very important to continue taking this medication exactly as prescribed by your doctor. With certain brands of birth control pills, the amount of estrogen and progestin in each active tablet will vary at different times in the cycle. Therefore, it is very important that you follow the package instructions to find the first tablet, start with the first tablet in the pack, and take them in the correct order. Do not skip any doses. Pregnancy is more likely if you miss pills, start a new pack late, or take your pill at a different time of the day than usual.Vomiting or diarrhea can prevent your birth control pills from working well. If you have vomiting or diarrhea, you may need to use a back-up birth control method (such as condoms, spermicide). Follow the directions in the Patient Information Leaflet and check with your doctor or pharmacist for more details.Taking this medication after your evening meal or at bedtime may help if you have stomach upset or nausea with the medication. You may choose to take this medication at another time of day that is easier for you to remember. No matter what dosing schedule you use, it is very important that you take this medication at the same time each day, 24 hours apart. Ask your doctor or pharmacist if you have any questions.Your pill pack contains 21 pills with active medication. It may also contain 7 reminder pills with no medication. Take one active pill (with hormones) once daily for 21 days in a row. If you are using a product with 28 tablets, take an inactive pill once daily for 7 days in a row after you have taken the last active pill unless otherwise directed by your doctor. If you are using a product with 21 tablets, do not take any tablets for 7 days unless otherwise directed by your doctor. You should have your period during the fourth week of the cycle. After you have taken the last inactive tablet in the pack or gone 7 days without taking an active tablet, start a new pack the next day whether or not you have your period. If you do not get your period, consult your doctor.If this is the first time you are using this medication and you are not switching from another form of hormonal birth control (such as patch, other birth control pills), take the first tablet in the pack on the first Sunday following the beginning of your menstrual period or on the first day of your period. If your period begins on a Sunday, begin taking this medication on that day. For the first cycle of use only, use an additional form of non-hormonal birth control (such as condoms, spermicide) for the first 7 days to prevent pregnancy until the medication has enough time to work. If you start on the first day of your period, you do not need to use back-up birth control the first week.Ask your doctor or pharmacist about how to switch from other forms of hormonal birth control (such as patch, other birth control pills) to this product. If any information is unclear, consult the Patient Information Leaflet or your doctor or pharmacist.","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
,a significant type of allergic reaction called anaphylaxis,Auvi-Q Auto-Injector,Epinephrine,"Keep this product near you at all times. (See also Storage section).Different brands of this medication have different directions for preparing and using the injector. Learn how to properly inject this medication in advance so you will be prepared when you actually need to use it. Also teach a family member or caregiver what to do if you cannot inject the medication yourself. For infants and children, make sure to hold their leg in place before and during the injection of the medication to prevent injuries from occurring. Read the Patient Information Leaflet provided by your pharmacist before you have to use epinephrine and each time you get a refill. If you have any questions, consult your doctor or pharmacist.The effects of this medication are rapid but not long-lasting. After injecting epinephrine, get medical help right away. Tell the healthcare professional that you have given yourself an injection of epinephrine. Avoid injecting this medication into your hands, feet, buttocks, or areas of your body other than the thigh. If this occurs, tell the healthcare professional right away. Discard the injector properly.The solution in this product should be clear. Check this product visually for particles or discoloration from time to time. If it has turned cloudy or pink/brown in color, do not use the product. Obtain a new supply.Also, check that the product comes out of its carrying case easily before you have an emergency. If it does not, consult your pharmacist.","This medication is used in emergencies to treat very serious allergic reactions to insect stings/bites, foods, drugs, or other substances. Epinephrine acts quickly to improve breathing, stimulate the heart, raise a dropping blood pressure, reverse hives, and reduce swelling of the face, lips, and throat."
,inadequate vitamin C,"Ascorbate Calcium-Multivit-Min 1,000 Mg Oral Powder Effervescent Pakt",Ascorbate Calcium-Multivit-Min,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"attention deficit disorder with hyperactivity, recurring sleep episodes during the day",Adzenys XR-ODT,Amphetamine,"Read the Medication Guide provided by your pharmacist before you start taking amphetamine and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth with or without food as directed by your doctor, usually once daily in the morning. Taking this medication after noon may cause trouble sleeping (insomnia).Keep the medication in the original package until you are ready to take a dose. Dry your hands before handling the medication. Peel back the foil layer of the blister pack to remove a tablet. Do not push the tablet through the foil because it may get damaged. Place the tablet on your tongue, allow it to dissolve, and swallow with your saliva. You do not need to take this medication with water or other liquid. Do not crush or chew the tablet.The dosage is based on your medical condition and response to treatment. Your doctor may adjust your dose to find the dose that is best for you. Follow your doctor's instructions carefully.Use this medication regularly to get the most benefit from it. To help you remember, take it at the same time each day.During treatment, your doctor may sometimes stop the medication for a short time to see if the medication is still needed.If you suddenly stop using this medication, you may have withdrawal symptoms (such as severe tiredness, sleep problems, mental/mood changes such as depression). To help prevent withdrawal, your doctor may lower your dose slowly. Withdrawal is more likely if you have used amphetamine for a long time or in high doses. Tell your doctor or pharmacist right away if you have withdrawal.When this medication is used for a long time, it may not work as well. Talk with your doctor if this medication stops working well.Though it helps many people, this medication may sometimes cause addiction. This risk may be higher if you have a substance use disorder (such as overuse of or addiction to drugs/alcohol). Take this medication exactly as prescribed to lower the risk of addiction. Ask your doctor or pharmacist for more details.Tell your doctor if your condition does not get better or if it gets worse.","This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
,"attention deficit disorder with hyperactivity, recurring sleep episodes during the day",Adzenys ER,Amphetamine,"Read the Medication Guide provided by your pharmacist before you start taking amphetamine and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth with or without food as directed by your doctor, usually once daily in the morning. Taking this medication late in the day may cause trouble sleeping (insomnia).Shake the bottle well before each use. Carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose.Do not drink alcoholic beverages while taking this medication. Drinking alcohol may release all of the drug at once, increasing the risk of side effects.The dosage is based on your medical condition and response to treatment. To reduce your risk of side effects, your doctor may direct you to start this medication at a low dose and gradually increase your dose. Follow your doctor's instructions carefully.Use this medication regularly to get the most benefit from it. To help you remember, take it at the same time each day.During treatment, your doctor may occasionally recommend stopping the medication for a short time to see whether there are any changes in your behavior and whether the medication is still needed.Do not increase your dose or use this drug more often or for longer than prescribed. Your condition will not improve any faster, and your risk of side effects will increase.If you suddenly stop using this medication, you may have withdrawal symptoms (such as severe tiredness, sleep problems, mental/mood changes like depression). To help prevent withdrawal, your doctor may lower your dose slowly. Withdrawal is more likely if you have used this medication for a long time or in high doses. Tell your doctor or pharmacist right away if you have withdrawal.When this medication is used for a long time, it may not work as well. Talk with your doctor if this medication stops working well.Though it helps many people, this medication may sometimes cause addiction. This risk may be higher if you have a substance use disorder (such as overuse of or addiction to drugs/alcohol). Take this medication exactly as prescribed to lower the risk of addiction. Ask your doctor or pharmacist for more details.Tell your doctor if you do not get better or if you get worse.","This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
,"a significant drop in blood pressure due to bacterial infection, a prolonged asthma attack, additional local anesthesia, complete stoppage of the heart, sudden drop in blood pressure, sinus bradycardia, ventricular fibrillation, a heart rhythm disorder, an allergic reaction, a significant type of allergic reaction called anaphylaxis",Adyphren Kit,Epinephrine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,deficiency of vitamin E,Aquasol E,Vitamin E,"Take this product by mouth as directed. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.If you are using a liquid form of this product, carefully measure your dose using a medication-measuring device or spoon. Do not use a household spoon because you may not get the correct dose. If your liquid form is a suspension, shake the bottle well before each dose.Dosage is based on your medical condition and response to treatment. Do not increase your dose or take it more often than recommended. Taking too much vitamin E may increase your risk of side effects.High doses of vitamin E (400 units or more per day) may increase the chance of rare but very serious side effects. There is no proof that high doses of vitamin E help to prevent or treat heart disease. There is very little evidence that it helps prevent or treat Alzheimer's disease. In some people, taking these high doses may even be harmful. Talk to your doctor or pharmacist and discuss the risks and benefits before taking vitamin E supplements.If your doctor prescribes this product for vitamin E deficiency, use it regularly to get the most benefit from it. To help you remember, take it at the same time each day. You should see improvement of symptoms such as numbness/tingling of the hands/feet and weakness. If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This supplement is used to prevent or treat a lack of vitamin E in the body. A low body level of vitamin E is rare. Most people who eat a normal diet do not need extra vitamin E. However, vitamin E supplements are used in premature newborns and in people who have problems absorbing enough vitamin E from their diets. Vitamin E is important in protecting your body's cells from damage. It is known as an antioxidant."
,,Adyphren II Kit,Epinephrine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aquaphor Topical Ointment,Mineral Oil-Hydrophil Petrolat,"Use this product as directed. Some products require priming before use. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Some products need to be shaken before use. Check the label to see if you should shake the bottle well before using. Apply to the affected areas of the skin as needed or as directed on the label or by your doctor. How often you apply the medication will depend on the product and your skin condition. To treat dry hands, you may need to use the product every time you wash your hands, applying it throughout the day.If you are using this product to help treat diaper rash, clean the diaper area well before use and allow the area to dry before applying the product.If you are using this product to help treat radiation skin burns, check with radiation personnel to see if your brand can be applied before radiation therapy.Follow all the directions on the label for proper use. Apply to the skin only. Avoid sensitive areas such as your eyes, inside your mouth/nose, and the vaginal/groin area, unless the label or your doctor directs you otherwise. Check the label for directions about any areas or types of skin where you should not apply the product (e.g., on the face, any areas of broken/chapped/cut/irritated/scraped skin, or on a recently shaved area of the skin). Consult your doctor or pharmacist for more details.Use this medication regularly to get the most benefit from it. Most moisturizers need water to work well. Apply the product after bathing/showering while the skin is still damp. For very dry skin, your doctor may instruct you to soak the area before using the product. Long, hot, or frequent bathing/washing can worsen dry skin.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
,a low amount of vitamin A in the body,Aquasol A Vial,Vitamin A Palmitate,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,skin irritation,Aquaphor WITH NATURAL Healing Ointment,White Petrolatum,"Use this product as directed. Some products require priming before use. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Some products need to be shaken before use. Check the label to see if you should shake the bottle well before using. Apply to the affected areas of the skin as needed or as directed on the label or by your doctor. How often you apply the medication will depend on the product and your skin condition. To treat dry hands, you may need to use the product every time you wash your hands, applying it throughout the day.If you are using this product to help treat diaper rash, clean the diaper area well before use and allow the area to dry before applying the product.If you are using this product to help treat radiation skin burns, check with radiation personnel to see if your brand can be applied before radiation therapy.Follow all the directions on the label for proper use. Apply to the skin only. Avoid sensitive areas such as your eyes, inside your mouth/nose, and the vaginal/groin area, unless the label or your doctor directs you otherwise. Check the label for directions about any areas or types of skin where you should not apply the product (e.g., on the face, any areas of broken/chapped/cut/irritated/scraped skin, or on a recently shaved area of the skin). Consult your doctor or pharmacist for more details.Use this medication regularly to get the most benefit from it. Most moisturizers need water to work well. Apply the product after bathing/showering while the skin is still damp. For very dry skin, your doctor may instruct you to soak the area before using the product. Long, hot, or frequent bathing/washing can worsen dry skin.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
,,Aquaphilic Ointment,Emollient Combination No.97,"Use this product as directed. Some products require priming before use. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Some products need to be shaken before use. Check the label to see if you should shake the bottle well before using. Apply to the affected areas of the skin as needed or as directed on the label or by your doctor. How often you apply the medication will depend on the product and your skin condition. To treat dry hands, you may need to use the product every time you wash your hands, applying it throughout the day.If you are using this product to help treat diaper rash, clean the diaper area well before use and allow the area to dry before applying the product.If you are using this product to help treat radiation skin burns, check with radiation personnel to see if your brand can be applied before radiation therapy.Follow all the directions on the label for proper use. Apply to the skin only. Avoid sensitive areas such as your eyes, inside your mouth/nose, and the vaginal/groin area, unless the label or your doctor directs you otherwise. Check the label for directions about any areas or types of skin where you should not apply the product (e.g., on the face, any areas of broken/chapped/cut/irritated/scraped skin, or on a recently shaved area of the skin). Consult your doctor or pharmacist for more details.Use this medication regularly to get the most benefit from it. Most moisturizers need water to work well. Apply the product after bathing/showering while the skin is still damp. For very dry skin, your doctor may instruct you to soak the area before using the product. Long, hot, or frequent bathing/washing can worsen dry skin.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
